TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-16 15:31:28,1768577488656,uds-it-support-hub.vercel.app/api/canned-responses,GET,,304,dvwnt-1768577488656-e1eb72fac2ef,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/canned-responses,uds-it-support-hub.vercel.app,uds-it-support-mbzfesi8t-paul-antics-projects.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,91,iad1,266,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3PXNRXGARGKH4VN67ZC0SV,8sjawhvoUk0U,1
2026-01-16 15:31:28,1768577488655,uds-it-support-hub.vercel.app/api/automation-rules,GET,,304,zcgrt-1768577488655-56417e91ebf2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/automation-rules,uds-it-support-hub.vercel.app,uds-it-support-mbzfesi8t-paul-antics-projects.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,86,iad1,262,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3PXNRWEX2PPNJNEEHWP4K4,Aw8UnFGVpjWx,1
2026-01-16 15:26:35,1768577195338,uds-it-support-hub.vercel.app/api/helpdesk-webhook,POST,,,9575p-1768577195338-3eaf9543694a,azure-logic-apps/1.0 (workflow ba0109197caf41a589596281fc5a3e17; version 08584330865069815627) microsoft-flow/1.0,,production,,,serverless,/api/helpdesk-webhook,uds-it-support-hub.vercel.app,,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,515,iad1,267,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3PMQH183DF6FBV1387B68J,I19dmJoSoI8v,1
2026-01-16 15:14:38,1768576478145,uds-it-support-hub.vercel.app/api/tasks,GET,ticketId=2868558&limit=50&offset=0,304,pfmcp-1768576478145-75f0eb97f35d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/tasks,uds-it-support-hub.vercel.app,uds-it-support-mbzfesi8t-paul-antics-projects.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,55,iad1,261,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3NYTYFBF9GHNSZND1W1Z33,aJ1Vgv0KgZiB,1
2026-01-16 15:14:37,1768576477982,uds-it-support-hub.vercel.app/api/tickets,GET,limit=12&offset=0,304,k9fnd-1768576477982-48e0b85d2712,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/tickets,uds-it-support-hub.vercel.app,uds-it-support-mbzfesi8t-paul-antics-projects.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,37,iad1,262,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3NYTSC4KSHHH72BKWDAQK9,ucDNUvzHfQu6,1
2026-01-16 15:14:37,1768576477982,uds-it-support-hub.vercel.app/api/tasks,GET,ticketId=2868558&limit=50&offset=0,200,29x28-1768576477982-c868b0d69ad4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/tasks,uds-it-support-hub.vercel.app,uds-it-support-mbzfesi8t-paul-antics-projects.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,89,iad1,262,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3NYTSE12292G9QSR128719,aJ1Vgv0KgZiB,1
2026-01-16 15:14:33,1768576473942,uds-it-support-hub.vercel.app/api/tickets,GET,limit=12&offset=0,,h79cd-1768576473942-70617869d24b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,,,serverless,/api/tickets,uds-it-support-hub.vercel.app,,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,83,iad1,262,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3NYPTYM2ER3NKZ0Z46XZHT,ucDNUvzHfQu6,1
2026-01-16 15:14:23,1768576463196,uds-it-support-hub.vercel.app/api/automation-rules,GET,,304,mfb4h-1768576463196-ec49972af406,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/automation-rules,uds-it-support-hub.vercel.app,uds-it-support-mbzfesi8t-paul-antics-projects.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,477,iad1,262,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3NYCBD0XN6KHFEJCF1420E,Aw8UnFGVpjWx,1
2026-01-16 15:14:23,1768576463193,uds-it-support-hub.vercel.app/api/canned-responses,GET,,304,qrzzl-1768576463193-1ad98bee5a09,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/canned-responses,uds-it-support-hub.vercel.app,uds-it-support-mbzfesi8t-paul-antics-projects.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,481,iad1,266,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3NYCBA3WBC0KJ092809602,8sjawhvoUk0U,1
2026-01-16 15:14:23,1768576463193,uds-it-support-hub.vercel.app/api/tickets,GET,limit=12&offset=0,304,mctjr-1768576463193-92082b05f9a4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/tickets,uds-it-support-hub.vercel.app,uds-it-support-mbzfesi8t-paul-antics-projects.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,599,iad1,262,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3NYCB7F1HQRZE0V1SSBYHY,ucDNUvzHfQu6,1
2026-01-16 15:14:23,1768576463664,uds-it-support-hub.vercel.app/api/approvals,GET,limit=8&offset=0,304,6sfzl-1768576463193-69c63a0cacab,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",error,production,main,MISS,serverless,/api/approvals,uds-it-support-hub.vercel.app,uds-it-support-hub.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,,,,,"(node:4) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.
(Use `node --trace-deprecation ...` to show where the warning was created)",prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,,,
2026-01-16 15:14:23,1768576463193,uds-it-support-hub.vercel.app/api/approvals,GET,limit=8&offset=0,304,6sfzl-1768576463193-69c63a0cacab,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/approvals,uds-it-support-hub.vercel.app,uds-it-support-hub.vercel.app,dpl_G2fxitJcTVMwUfHJztVYGomZi73p,481,iad1,265,2048,,prj_euwozl6NhgcrNCJ93nI4JG0TiISh,,,01KF3NYCBAMWZE9JJ1HCE3FPC6,mXVVY0DqwSsH,1
